datetime,open,high,low,close,volume
2022-06-08,16470,16693,16433,16643,246374
2022-06-09,16652,16702,16524,16581,249458
2022-06-10,16583,16662,16350,16473,295765
2022-06-13,16460,16512,15992,16050,322296
2022-06-14,16028,16077,15809,16056,346630
2022-06-15,16056,16096,15506,15547,226584
2022-06-16,15550,15805,15382,15405,383875
2022-06-17,15343,15356,15093,15200,425178
2022-06-20,15156,15245,14965,15032,404476
2022-06-21,15046,15362,15027,15324,251229
2022-06-22,15318,15415,14984,15015,322158
2022-06-23,14990,15174,14803,14941,492416
2022-06-24,14907,15142,14849,15055,415203
2022-06-27,15040,15399,15008,15273,283892
2022-06-28,15262,15328,15096,15191,294801
2022-06-29,15238,15295,14980,15018,339542
2022-06-30,14979,15036,14610,14622,366801
2022-07-01,14567,14703,14128,14170,514978
2022-07-04,14200,14316,14025,14150,432678
2022-07-05,14162,14430,13975,14209,364731
2022-07-06,14222,14264,13860,13876,447849
2022-07-07,13903,14296,13830,14187,432108
2022-07-08,14185,14485,14180,14328,367498
2022-07-11,14336,14496,14228,14278,411156
2022-07-12,14251,14308,13850,13914,349985
2022-07-13,13914,14356,13881,14280,393787
2022-07-14,14283,14437,14100,14387,456409
2022-07-15,14404,14542,14260,14478,402907
2022-07-18,14452,14666,14410,14649,301063
2022-07-19,14656,14716,14523,14675,243467
2022-07-20,14678,14908,14577,14613,201145
2022-07-21,14611,14771,14532,14748,316192
2022-07-22,14740,14855,14693,14754,302770
2022-07-25,14775,14846,14675,14792,278842
2022-07-26,14812,14850,14650,14709,264725
2022-07-27,14699,14800,14582,14792,284362
2022-07-28,14787,14968,14773,14832,264541
2022-07-29,14831,14990,14768,14937,299447
2022-08-01,14934,14998,14805,14870,240831
2022-08-02,14885,14910,14589,14644,293398
2022-08-03,14652,14756,14570,14673,321724
2022-08-04,14669,14736,14461,14657,334714
2022-08-05,14650,15020,14640,15014,237123
2022-08-08,15013,15015,14886,14961,231982
2022-08-09,14954,15066,14842,15019,255590
2022-08-10,15026,15033,14832,14877,230748
2022-08-11,14870,15191,14853,15182,244468
2022-08-12,15214,15332,15190,15274,237190
2022-08-15,15274,15432,15263,15385,194525
2022-08-16,15390,15451,15332,15421,166446
2022-08-17,15417,15463,15362,15367,140056
2022-08-18,15370,15376,15224,15316,224819
2022-08-19,15290,15405,15275,15316,212724
2022-08-22,15331,15342,15157,15173,208412
2022-08-23,15165,15195,15021,15030,207428
2022-08-24,15007,15136,14987,15058,220884
2022-08-25,15050,15226,15033,15171,221905
2022-08-26,15233,15318,15188,15239,208370
2022-08-29,15249,15296,14762,14817,333097
2022-08-30,14847,14994,14804,14951,231485
2022-08-31,14962,15098,14721,15042,347736
2022-09-01,15041,15049,14675,14735,333806
2022-09-02,14701,14818,14583,14597,330591
2022-09-05,14620,14743,14520,14614,333781
2022-09-06,14639,14770,14555,14659,215410
2022-09-07,14646,14680,14331,14355,306567
2022-09-08,14370,14551,14303,14548,278826
2022-09-12,14550,14824,14449,14797,272192
2022-09-13,14809,14928,14796,14877,191383
2022-09-14,14890,14937,14440,14578,330238
2022-09-15,14586,14714,14516,14643,272568
2022-09-16,14650,14672,14465,14485,279719
2022-09-19,14470,14579,14405,14419,258942
2022-09-20,14392,14570,14361,14557,218418
2022-09-21,14562,14595,14390,14414,187596
2022-09-22,14389,14545,14088,14241,386595
2022-09-23,14229,14324,14056,14116,319547
2022-09-26,14106,14134,13740,13760,364604
2022-09-27,13760,13882,13734,13816,308908
2022-09-28,13850,13910,13486,13515,384448
2022-09-29,13497,13693,13423,13524,383808
2022-09-30,13485,13493,13290,13397,380741
2022-10-03,13420,13466,13215,13302,357916
2022-10-04,13338,13615,13283,13595,277070
2022-10-05,13613,13884,13593,13816,303961
2022-10-06,13824,13956,13666,13869,314539
2022-10-07,13835,13846,13683,13688,300622
2022-10-11,13664,13716,13081,13091,385823
2022-10-12,13061,13156,12951,13075,382220
2022-10-13,13111,13119,12805,12870,331948
2022-10-14,12886,13249,12666,13170,501966
2022-10-17,13148,13208,12821,12980,455969
2022-10-18,12977,13182,12943,13104,317834
2022-10-19,13110,13192,12954,12963,313007
2022-10-20,12911,12929,12663,12900,437447
2022-10-21,12890,13078,12794,12804,424504
2022-10-24,12825,13126,12743,12881,461033
2022-10-25,12860,12944,12651,12683,448410
2022-10-26,12684,12850,12664,12741,331795
2022-10-27,12762,12984,12755,12959,342800
2022-10-28,12924,12976,12745,12769,345860
2022-10-31,12740,12995,12730,12945,309960
2022-11-01,12935,13095,12858,13034,257909
2022-11-02,13053,13107,12991,13075,249712
2022-11-03,13077,13140,12855,12958,323500
2022-11-04,12945,13039,12820,13028,294141
2022-11-07,13047,13265,12990,13225,357704
2022-11-08,13217,13390,13194,13332,230204
2022-11-09,13339,13613,13319,13595,254809
2022-11-10,13582,13657,13461,13484,276412
2022-11-11,13464,14061,13414,14061,382436
2022-11-14,14079,14231,14051,14129,309967
2022-11-15,14125,14575,14121,14527,284882
2022-11-16,14540,14812,14450,14491,298533
2022-11-17,14511,14560,14356,14513,299906
2022-11-18,14518,14681,14347,14462,420805
2022-11-21,14460,14565,14411,14425,294083
2022-11-22,14415,14530,14364,14504,248575
2022-11-23,14489,14642,14480,14600,230336
2022-11-24,14602,14788,14593,14775,223428
2022-11-25,14765,14827,14688,14691,181578
2022-11-28,14709,14710,14433,14503,270167
2022-11-29,14496,14678,14404,14662,254865
2022-11-30,14668,14837,14563,14800,270935
2022-12-01,14810,15119,14714,14983,330434
2022-12-02,14945,14996,14842,14882,260339
2022-12-05,14879,15046,14716,14932,290602
2022-12-06,14947,14951,14672,14676,275549
2022-12-07,14676,14780,14567,14625,298844
2022-12-08,14608,14637,14412,14496,338910
2022-12-09,14511,14722,14508,14707,279655
2022-12-12,14726,14783,14484,14582,298070
2022-12-13,14582,14688,14496,14515,235276
2022-12-14,14514,14778,14505,14711,354813
2022-12-15,14706,14750,14517,14711,290602
2022-12-16,14700,14702,14408,14465,315018
2022-12-19,14483,14511,14328,14409,269221
2022-12-20,14429,14493,14121,14155,279380
2022-12-21,14182,14278,14153,14168,187328
2022-12-22,14174,14396,14149,14376,227510
2022-12-23,14372,14404,14089,14188,292750
2022-12-26,14190,14274,14105,14242,222085
2022-12-27,14244,14392,14224,14310,143797
2022-12-28,14304,14320,14070,14130,232555
2022-12-29,14126,14168,13938,14036,260164
2022-12-30,14040,14221,14031,14134,208952
2023-01-03,14120,14247,13952,14230,304281
2023-01-04,14227,14315,14146,14208,264447
2023-01-05,14207,14375,14204,14287,276270
2023-01-06,14277,14404,14223,14363,240782
2023-01-09,14361,14771,14324,14768,291529
2023-01-10,14760,14902,14731,14807,232389
2023-01-11,14801,14884,14746,14789,217279
2023-01-12,14778,14872,14708,14769,211753
2023-01-13,14776,15020,14723,14835,348043
2023-01-16,14855,15004,14805,14936,215344
2023-01-17,14925,14970,14820,14891,133748
2023-01-30,14920,15568,14820,15454,138799
2023-01-31,15457,15498,15266,15267,175332
2023-02-01,15251,15402,15228,15380,196221
2023-02-02,15387,15600,15331,15582,252230
2023-02-03,15588,15668,15488,15581,241486
2023-02-06,15577,15610,15391,15406,275160
2023-02-07,15395,15447,15307,15396,225694
2023-02-08,15398,15624,15333,15608,241204
2023-02-09,15606,15627,15507,15600,206953
2023-02-10,15600,15742,15521,15578,260549
2023-02-13,15587,15643,15431,15532,256818
2023-02-14,15536,15682,15525,15657,183727
2023-02-15,15664,15740,15365,15365,259485
2023-02-16,15363,15598,15338,15545,237329
2023-02-17,15545,15569,15384,15439,266245
2023-02-20,15434,15555,15367,15526,226021
2023-02-21,15538,15547,15471,15524,148466
2023-02-22,15532,15534,15306,15374,243138
2023-02-23,15380,15656,15343,15598,269296
2023-02-24,15597,15699,15526,15540,257155
2023-03-01,15539,15554,15333,15548,252888
2023-03-02,15551,15617,15435,15543,246920
2023-03-03,15540,15670,15505,15614,240924
2023-03-06,15618,15834,15605,15775,223899
2023-03-07,15768,15894,15748,15871,171371
2023-03-08,15865,15883,15719,15789,239513
2023-03-09,15785,15863,15751,15765,202944
2023-03-10,15768,15798,15452,15478,296705
2023-03-13,15473,15552,15345,15519,347844
2023-03-14,15538,15568,15310,15352,330349
2023-03-15,15333,15532,15316,15330,201991
2023-03-16,15344,15348,15069,15227,416135
2023-03-17,15202,15418,15162,15405,308226
2023-03-20,15416,15477,15322,15370,276315
2023-03-21,15300,15517,15203,15456,279966
2023-03-22,15470,15725,15457,15715,228840
2023-03-23,15724,15866,15654,15838,295822
2023-03-24,15846,15979,15798,15918,276817
2023-03-27,15906,15936,15780,15826,274514
2023-03-28,15817,15835,15655,15690,251440
2023-03-29,15709,15787,15642,15738,207493
